directory,file_name,variable_name,variable_type,description
data/,water_samples.rda,localization,character,
data/,water_samples.rda,geology,character,
data/,water_samples.rda,utm_x,character,
data/,water_samples.rda,utm_y,character,
data/,water_samples.rda,date,double,
data/,water_samples.rda,conductivity,double,
data/,water_samples.rda,T_avg,double,
data/,water_samples.rda,pH,double,
data/,water_samples.rda,TOC,double,
data/,water_samples.rda,alkalinity,double,
data/,water_samples.rda,DO,double,
data/,water_samples.rda,ORP,double,
data/,water_samples.rda,eH,double,
data/,water_samples.rda,NH4,double,
data/,water_samples.rda,Cl,double,
data/,water_samples.rda,SO4,double,
data/,water_samples.rda,NO3,double,
data/,water_samples.rda,PO4,double,
data/,water_samples.rda,Br,double,
data/,water_samples.rda,F,double,
data/,water_samples.rda,Ca,double,
data/,water_samples.rda,Mg,double,
data/,water_samples.rda,Na,double,
data/,water_samples.rda,K,double,
data/,water_samples.rda,Fe,double,
data/,water_samples.rda,Si,double,
data/,water_samples.rda,Al,double,
data/,water_samples.rda,S,double,
data/,water_samples.rda,P,double,
data/,water_samples.rda,Li,double,
data/,water_samples.rda,Be,double,
data/,water_samples.rda,B,double,
data/,water_samples.rda,Sc,double,
data/,water_samples.rda,Ti,double,
data/,water_samples.rda,V,double,
data/,water_samples.rda,Cr,double,
data/,water_samples.rda,Mn,double,
data/,water_samples.rda,Co,double,
data/,water_samples.rda,Ni,double,
data/,water_samples.rda,Cu,double,
data/,water_samples.rda,Zn,double,
data/,water_samples.rda,Ga,double,
data/,water_samples.rda,Ge,double,
data/,water_samples.rda,As,double,
data/,water_samples.rda,Se,double,
data/,water_samples.rda,Rb,double,
data/,water_samples.rda,Sr,double,
data/,water_samples.rda,Y,double,
data/,water_samples.rda,Zr,double,
data/,water_samples.rda,Nb,double,
data/,water_samples.rda,Mo,double,
data/,water_samples.rda,Cd,double,
data/,water_samples.rda,Sn,double,
data/,water_samples.rda,Sb,double,
data/,water_samples.rda,Cs,double,
data/,water_samples.rda,Ba,double,
data/,water_samples.rda,La,double,
data/,water_samples.rda,Ce,double,
data/,water_samples.rda,Pr,double,
data/,water_samples.rda,Nd,double,
data/,water_samples.rda,Sm,double,
data/,water_samples.rda,Eu,double,
data/,water_samples.rda,Gd,double,
data/,water_samples.rda,Tb,double,
data/,water_samples.rda,Dy,double,
data/,water_samples.rda,Ho,double,
data/,water_samples.rda,Er,double,
data/,water_samples.rda,Tm,double,
data/,water_samples.rda,Yb,double,
data/,water_samples.rda,Lu,double,
data/,water_samples.rda,Hf,double,
data/,water_samples.rda,Ta,double,
data/,water_samples.rda,W,double,
data/,water_samples.rda,Tl,double,
data/,water_samples.rda,Pb,double,
data/,water_samples.rda,Bi,double,
data/,water_samples.rda,Th,double,
data/,water_samples.rda,U,double,
data/,water_samples.rda,del_18O,double,
data/,water_samples.rda,del_2H,double,
data/,selected_samples.rda,code,character,
data/,selected_samples.rda,date,double,
data/,selected_samples.rda,conductivity,double,
data/,selected_samples.rda,T_avg,double,
data/,selected_samples.rda,pH,double,
data/,selected_samples.rda,Cl,double,
data/,selected_samples.rda,SO4,double,
data/,selected_samples.rda,NO3,double,
data/,selected_samples.rda,PO4,double,
data/,selected_samples.rda,Br,double,
data/,selected_samples.rda,F,double,
data/,selected_samples.rda,Ca,double,
data/,selected_samples.rda,Mg,double,
data/,selected_samples.rda,Na,double,
data/,selected_samples.rda,K,double,
data/,selected_samples.rda,Fe,double,
data/,selected_samples.rda,Si,double,
data/,selected_samples.rda,Al,double,
data/,selected_samples.rda,S,double,
data/,selected_samples.rda,P,double,
data/,selected_samples.rda,Li,double,
data/,selected_samples.rda,Be,double,
data/,selected_samples.rda,B,double,
data/,selected_samples.rda,Sc,double,
data/,selected_samples.rda,Ti,double,
data/,selected_samples.rda,V,double,
data/,selected_samples.rda,Cr,double,
data/,selected_samples.rda,Mn,double,
data/,selected_samples.rda,Co,double,
data/,selected_samples.rda,Ni,double,
data/,selected_samples.rda,Cu,double,
data/,selected_samples.rda,Zn,double,
data/,selected_samples.rda,Ga,double,
data/,selected_samples.rda,Ge,double,
data/,selected_samples.rda,As,double,
data/,selected_samples.rda,Se,double,
data/,selected_samples.rda,Rb,double,
data/,selected_samples.rda,Sr,double,
data/,selected_samples.rda,Y,double,
data/,selected_samples.rda,Zr,double,
data/,selected_samples.rda,Nb,double,
data/,selected_samples.rda,Mo,double,
data/,selected_samples.rda,Cd,double,
data/,selected_samples.rda,Sn,double,
data/,selected_samples.rda,Sb,double,
data/,selected_samples.rda,Cs,double,
data/,selected_samples.rda,Ba,double,
data/,selected_samples.rda,La,double,
data/,selected_samples.rda,Ce,double,
data/,selected_samples.rda,Pr,double,
data/,selected_samples.rda,Nd,double,
data/,selected_samples.rda,Sm,double,
data/,selected_samples.rda,Eu,double,
data/,selected_samples.rda,Gd,double,
data/,selected_samples.rda,Tb,double,
data/,selected_samples.rda,Dy,double,
data/,selected_samples.rda,Ho,double,
data/,selected_samples.rda,Er,double,
data/,selected_samples.rda,Tm,double,
data/,selected_samples.rda,Yb,double,
data/,selected_samples.rda,Lu,double,
data/,selected_samples.rda,Hf,double,
data/,selected_samples.rda,Ta,double,
data/,selected_samples.rda,W,double,
data/,selected_samples.rda,Tl,double,
data/,selected_samples.rda,Pb,double,
data/,selected_samples.rda,Bi,double,
data/,selected_samples.rda,Th,double,
data/,selected_samples.rda,U,double,
